UnitID,InstitutionName,Year,CovidIndicator,GraduationRate,TotalEnrollment,AvgInStateTuition,PercentWhite,PercentWomen,RetentionRate,StudentToFacultyRatio,PercentOnlineOnly,PercentAnyFinancialAid,AvgGrantAid,PercentPellGrant,AvgPellGrant,AvgStudentLoans
200590,ETI Technical College,2017,0,86,175,9772,73,73,82,7,0,100,11222,82,5103,7134
200785,Herzing University-Akron,2017,0,15,494,13000,45,83,46,14,47,100,5948,92,4247,8480
200800,University of Akron Main Campus,2017,0,38,20169,8618,73,47,73,18,3,93,7816,42,4205,7205
200846,University of Akron Wayne College,2017,0,2,1796,5940,88,58,60,20,5,86,5412,40,4114,4595
200873,Allegheny Wesleyan College,2017,0,22,84,5600,99,58,89,12,0,94,6335,89,4203,3500
201061,Art Academy of Cincinnati,2017,0,56,181,29665,73,69,69,8,0,100,13943,80,3666,4583
201104,Ashland University,2017,0,60,6471,19740,75,48,77,16,18,98,12432,38,4548,8421
201177,Aultman College of Nursing and Health Sciences,2017,0,50,394,17000,90,89,,7,0,94,6655,50,4475,8169
201195,Baldwin Wallace University,2017,0,67,3791,31668,77,55,78,11,0,99,19781,37,4654,7878
201283,Belmont College,2017,0,32,1150,2527,91,64,56,12,4,95,3243,54,3668,2758
201371,Bluffton University,2017,0,51,815,31222,79,49,61,11,0,100,18951,40,3906,8852
201432,Bowling Green State University-Firelands,2017,0,11,1970,4706,79,64,52,20,9,84,3610,50,3987,5410
201441,Bowling Green State University-Main Campus,2017,0,53,17357,9096,78,56,77,18,4,95,6542,30,4156,7318
201469,Bryant & Stratton College-Parma,2017,0,15,354,16891,62,87,0,10,5,100,6381,71,4415,6375
201548,Capital University,2017,0,59,3384,34280,75,61,78,11,0,100,25272,32,4477,7391
201645,Case Western Reserve University,2017,0,83,11824,47074,49,45,92,11,0,84,28295,10,4416,6612
201654,Cedarville University,2017,0,72,3886,28956,84,53,84,14,10,99,14155,22,3785,7497
201672,Central Ohio Technical College,2017,0,17,3479,4296,70,67,53,11,10,87,4051,58,3940,4697
201690,Central State University,2017,0,20,1784,3926,1,59,47,13,0,100,6886,83,5229,6724
201821,The Christ College of Nursing and Health Sciences,2017,0,46,914,13779,79,92,77,14,24,93,7884,48,3977,6691
201867,Cincinnati College of Mortuary Science,2017,0,33,85,17625,80,72,,15,0,,,,,
201885,University of Cincinnati-Main Campus,2017,0,69,37155,9322,74,49,86,16,7,82,7045,20,4223,7436
201928,Cincinnati State Technical and Community College,2017,0,15,8807,3567,59,56,47,13,14,74,5253,47,4765,3727
201946,University of Cincinnati-Clermont College,2017,0,25,2799,4580,84,56,,12,6,85,3851,43,4364,4990
201955,University of Cincinnati-Blue Ash College,2017,0,23,4779,5274,60,60,,16,1,89,4006,49,4415,5858
201964,Ohio Christian University,2017,0,29,4483,10680,49,65,65,11,55,84,7890,57,3768,7524
201973,Clark State College,2017,0,21,5783,2912,75,66,57,13,17,93,3624,59,4448,4701
202046,Cleveland Institute of Art,2017,0,56,636,37980,66,63,89,9,0,98,21089,35,4278,10504
202073,Cleveland Institute of Music,2017,0,53,393,47200,32,49,90,7,0,100,27324,17,4415,8332
202134,Cleveland State University,2017,0,43,16371,9636,64,54,70,17,4,89,7096,43,4574,6239
202170,Columbus College of Art & Design,2017,0,61,1075,33960,65,70,79,9,0,100,18943,33,4370,8633
202222,Columbus State Community College,2017,0,21,27204,3808,59,53,63,19,14,74,5065,47,4866,4380
202356,Cuyahoga Community College District,2017,0,15,23900,3953,55,60,58,18,20,78,4549,65,4547,1306
202435,Davis College,2017,0,25,91,12600,54,89,20,6,0,100,4373,100,3589,7001
202453,Dayton Barber College,2017,0,83,44,,20,20,85,15,0,81,3969,81,3969,
202480,University of Dayton,2017,0,79,10882,41750,79,48,90,15,0,97,21293,14,3854,8102
202514,Defiance College,2017,0,39,614,31480,74,44,60,11,1,100,19635,46,4114,9193
202523,Denison University,2017,0,86,2341,49310,65,55,91,9,0,98,30783,19,4668,7124
202648,Edison State Community College,2017,0,24,3261,3610,89,60,57,17,11,68,4183,46,3986,5602
202763,The University of Findlay,2017,0,61,4888,32330,84,65,81,16,3,100,21119,33,4139,8954
202806,Franklin University,2017,0,6,4753,12216,63,54,20,11,79,58,7514,42,5088,6853
202903,Gods Bible School and College,2017,0,40,306,6000,80,47,96,7,37,96,5532,57,4431,3565
202912,Good Samaritan College of Nursing and Health Science,2017,0,50,413,13605,83,90,,6,0,88,7465,41,5089,8180
203085,Heidelberg University,2017,0,49,1201,29600,78,46,67,13,0,100,17906,37,3846,8443
203128,Hiram College,2017,0,56,1220,31299,53,54,70,10,1,99,23318,51,4460,8304
203155,Hocking College,2017,0,27,3375,3696,79,50,74,19,4,86,3954,58,3978,4714
203289,International College of Broadcasting,2017,0,75,54,12649,56,13,67,10,0,100,6295,89,5812,8419
203331,Eastern Gateway Community College,2017,0,8,8526,3510,65,66,47,21,71,93,4324,65,4545,2304
