UnitID,InstitutionName,Year,CovidIndicator,GraduationRate,TotalEnrollment,AvgInStateTuition,PercentWhite,PercentWomen,RetentionRate,StudentToFacultyRatio,PercentOnlineOnly,PercentAnyFinancialAid,AvgGrantAid,PercentPellGrant,AvgPellGrant,AvgStudentLoans,PercentSomeOnline,PercentNoOnline,Staff,HealtcareStaff
200590,ETI Technical College,2017,0,86,175,9772,73,73,82,7,0,100,11222,82,5103,7134,0,100,33,0
200785,Herzing University-Akron,2017,0,15,494,13000,45,83,46,14,47,100,5948,92,4247,8480,26,27,40,0
200800,University of Akron Main Campus,2017,0,38,20169,8618,73,47,73,18,3,93,7816,42,4205,7205,23,73,2229,31
200846,University of Akron Wayne College,2017,0,2,1796,5940,88,58,60,20,5,86,5412,40,4114,4595,17,79,108,1
200873,Allegheny Wesleyan College,2017,0,22,84,5600,99,58,89,12,0,94,6335,89,4203,3500,0,100,21,0
201061,Art Academy of Cincinnati,2017,0,56,181,29665,73,69,69,8,0,100,13943,80,3666,4583,0,100,54,0
201104,Ashland University,2017,0,60,6471,19740,75,48,77,16,18,98,12432,38,4548,8421,27,56,800,6
201177,Aultman College of Nursing and Health Sciences,2017,0,50,394,17000,90,89,,7,0,94,6655,50,4475,8169,29,71,60,0
201195,Baldwin Wallace University,2017,0,67,3791,31668,77,55,78,11,0,99,19781,37,4654,7878,7,92,755,7
201283,Belmont College,2017,0,32,1150,2527,91,64,56,12,4,95,3243,54,3668,2758,19,77,112,0
201371,Bluffton University,2017,0,51,815,31222,79,49,61,11,0,100,18951,40,3906,8852,3,97,158,2
201432,Bowling Green State University-Firelands,2017,0,11,1970,4706,79,64,52,20,9,84,3610,50,3987,5410,25,66,112,0
201441,Bowling Green State University-Main Campus,2017,0,53,17357,9096,78,56,77,18,4,95,6542,30,4156,7318,20,76,2115,13
201469,Bryant & Stratton College-Parma,2017,0,15,354,16891,62,87,0,10,5,100,6381,71,4415,6375,30,65,54,0
201548,Capital University,2017,0,59,3384,34280,75,61,78,11,0,100,25272,32,4477,7391,14,86,514,0
201645,Case Western Reserve University,2017,0,83,11824,47074,49,45,92,11,0,84,28295,10,4416,6612,1,99,4470,151
201654,Cedarville University,2017,0,72,3886,28956,84,53,84,14,10,99,14155,22,3785,7497,23,67,621,9
201672,Central Ohio Technical College,2017,0,17,3479,4296,70,67,53,11,10,87,4051,58,3940,4697,24,66,218,0
201690,Central State University,2017,0,20,1784,3926,1,59,47,13,0,100,6886,83,5229,6724,10,90,381,2
201821,The Christ College of Nursing and Health Sciences,2017,0,46,914,13779,79,92,77,14,24,93,7884,48,3977,6691,30,46,84,0
201867,Cincinnati College of Mortuary Science,2017,0,33,85,17625,80,72,,15,0,,,,,,0,100,10,0
201885,University of Cincinnati-Main Campus,2017,0,69,37155,9322,74,49,86,16,7,82,7045,20,4223,7436,33,60,6795,414
201928,Cincinnati State Technical and Community College,2017,0,15,8807,3567,59,56,47,13,14,74,5253,47,4765,3727,37,48,599,0
201946,University of Cincinnati-Clermont College,2017,0,25,2799,4580,84,56,,12,6,85,3851,43,4364,4990,43,51,247,0
201955,University of Cincinnati-Blue Ash College,2017,0,23,4779,5274,60,60,,16,1,89,4006,49,4415,5858,24,75,319,0
201964,Ohio Christian University,2017,0,29,4483,10680,49,65,65,11,55,84,7890,57,3768,7524,34,10,540,0
201973,Clark State College,2017,0,21,5783,2912,75,66,57,13,17,93,3624,59,4448,4701,25,58,351,0
202046,Cleveland Institute of Art,2017,0,56,636,37980,66,63,89,9,0,98,21089,35,4278,10504,9,91,166,0
202073,Cleveland Institute of Music,2017,0,53,393,47200,32,49,90,7,0,100,27324,17,4415,8332,0,100,124,0
202134,Cleveland State University,2017,0,43,16371,9636,64,54,70,17,4,89,7096,43,4574,6239,29,67,1833,14
202170,Columbus College of Art & Design,2017,0,61,1075,33960,65,70,79,9,0,100,18943,33,4370,8633,20,80,230,0
202222,Columbus State Community College,2017,0,21,27204,3808,59,53,63,19,14,74,5065,47,4866,4380,21,65,1506,16
202356,Cuyahoga Community College District,2017,0,15,23900,3953,55,60,58,18,20,78,4549,65,4547,1306,29,51,2256,20
202435,Davis College,2017,0,25,91,12600,54,89,20,6,0,100,4373,100,3589,7001,0,100,15,0
202453,Dayton Barber College,2017,0,83,44,,20,20,85,15,0,81,3969,81,3969,,0,100,4,0
202480,University of Dayton,2017,0,79,10882,41750,79,48,90,15,0,97,21293,14,3854,8102,3,97,2735,11
202514,Defiance College,2017,0,39,614,31480,74,44,60,11,1,100,19635,46,4114,9193,22,77,134,1
202523,Denison University,2017,0,86,2341,49310,65,55,91,9,0,98,30783,19,4668,7124,0,100,705,9
202648,Edison State Community College,2017,0,24,3261,3610,89,60,57,17,11,68,4183,46,3986,5602,29,60,187,0
202763,The University of Findlay,2017,0,61,4888,32330,84,65,81,16,3,100,21119,33,4139,8954,22,75,663,17
202806,Franklin University,2017,0,6,4753,12216,63,54,20,11,79,58,7514,42,5088,6853,13,8,526,0
202903,Gods Bible School and College,2017,0,40,306,6000,80,47,96,7,37,96,5532,57,4431,3565,0,63,67,0
202912,Good Samaritan College of Nursing and Health Science,2017,0,50,413,13605,83,90,,6,0,88,7465,41,5089,8180,0,100,51,0
203085,Heidelberg University,2017,0,49,1201,29600,78,46,67,13,0,100,17906,37,3846,8443,1,99,266,4
203128,Hiram College,2017,0,56,1220,31299,53,54,70,10,1,99,23318,51,4460,8304,9,90,228,3
203155,Hocking College,2017,0,27,3375,3696,79,50,74,19,4,86,3954,58,3978,4714,19,77,278,0
203289,International College of Broadcasting,2017,0,75,54,12649,56,13,67,10,0,100,6295,89,5812,8419,0,100,15,0
203331,Eastern Gateway Community College,2017,0,8,8526,3510,65,66,47,21,71,93,4324,65,4545,2304,8,20,236,0
203368,John Carroll University,2017,0,78,3517,38490,83,49,86,12,0,98,25797,21,4606,8131,2,98,577,1
203386,Hondros College of Nursing,2017,0,38,2093,15540,48,92,,16,5,85,3601,76,3340,6973,23,73,221,0
203438,Casal Aveda Institute,2017,0,74,123,,83,94,73,6,0,95,4762,68,4890,6690,0,100,21,0
203447,Kent State University at Ashtabula,2017,0,25,1974,5664,82,64,44,20,46,93,3917,72,4148,4411,18,36,118,1
203456,Kent State University at East Liverpool,2017,0,30,1175,5664,84,68,68,25,61,88,4195,54,4103,5120,13,25,54,1
203465,Kent State University at Stark,2017,0,32,5010,5664,82,60,66,23,22,86,3784,46,3867,4218,19,58,311,0
203474,Kent State University at Trumbull,2017,0,20,2278,5664,82,62,63,25,44,93,3775,60,3853,4665,15,41,119,1
203483,Kent State University at Tuscarawas,2017,0,33,2131,5664,88,57,63,22,24,91,2987,51,3665,4227,16,60,152,1
203492,Kent State University at Salem,2017,0,28,1695,5664,86,70,55,19,32,89,3769,56,3959,4202,17,50,98,0
203517,Kent State University at Kent,2017,0,58,28972,10012,75,61,80,20,8,95,7306,32,4189,7363,42,50,3669,37
203526,Kent State University at Geauga,2017,0,30,2249,5664,77,62,60,23,41,74,4242,45,4237,5017,15,44,108,1
203535,Kenyon College,2017,0,91,1677,51540,72,56,93,9,0,61,34966,9,3955,6134,0,100,650,5
203544,Kettering College,2017,0,52,824,12408,80,85,72,9,23,80,6631,24,4821,9580,5,72,118,0
203580,Lake Erie College,2017,0,46,1176,29426,66,54,61,14,3,100,23258,47,4215,7031,16,81,159,2
203599,Lakeland Community College,2017,0,15,7581,4136,77,58,50,16,14,71,3887,54,4033,4642,26,60,527,0
203614,Collins Career Technical Center,2017,0,66,353,,98,77,85,6,0,98,3718,78,3604,5325,0,100,71,0
203678,James A. Rhodes State College,2017,0,31,3760,3845,85,63,64,12,8,86,3702,52,3964,2755,30,62,293,0
